stk_pur_id,stk_type,stk_pattern,stk_weight,stk_size,stk_length,stk_labor_cost,stk_gold_cost,stk_gold_type,stk_returned,stk_remark,stk_tag
0225XW,NECKLACE,SINGLE BUCKLE,2.48,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,2.55,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,3.2,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,3.22,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,3.21,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,3.22,,37,13,,916,,,
0923XW,NECKLACE,SINGLE BUCKLE,4.06,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,4.17,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,4.17,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,4.2,,37,13,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,5.16,,37,13,,916,,,
0516FS,NECKLACE,SINGLE BUCKLE,1.71,,41,9,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.39,,41,14,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.31,,41,14,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.37,,41,14,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.37,,41,14,,916,,,
B0724SLG,NECKLACE,SINGLE BUCKLE,5.19,,41,13.2,,916,,,
B0918SLG,NECKLACE,SINGLE BUCKLE,1.93,,45,14.4,,916,,,
B0918SLG,NECKLACE,SINGLE BUCKLE,1.94,,45,14.4,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,2.72,,45,15,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,2.73,,45,15,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,3.45,,45,15,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,3.73,,45,16,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,3.82,,45,16,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.43,,45,14.4,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.42,,45,14.4,,916,,,
0325XW,NECKLACE,SINGLE BUCKLE,4.92,,45,14.6,,916,,,
0325XW,NECKLACE,SINGLE BUCKLE,4.92,,45,14.6,,916,,,
0325XW,NECKLACE,SINGLE BUCKLE,4.9,,45,14.6,,916,,,
0325XW,NECKLACE,SINGLE BUCKLE,4.93,,45,14.6,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,5.64,,45,15,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,5.53,,45,15,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,5.53,,45,15,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,6.29,,45,15,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.12,,45,14.4,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.08,,45,14.4,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.1,,45,14.4,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.08,,45,14.4,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.06,,45,14.4,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.12,,45,14.4,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.05,,45,14.4,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,7.58,,45,15,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,7.51,,45,15,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,8.41,,45,15,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,8.4,,45,15,,916,,,
1224SLG,NECKLACE,SINGLE BUCKLE,11.04,,45,21,,916,,,
0624SLG,NECKLACE,SINGLE BUCKLE,12.77,,45,20,,916,,,
0624SLG,NECKLACE,SINGLE BUCKLE,14.23,,45,19.2,,916,,,
0624SLG,NECKLACE,SINGLE BUCKLE,16.18,,45,32,,916,,,
1014SLG,NECKLACE,SINGLE BUCKLE,17.14,,44,32,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,5.57,,52,17,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,5.5,,52,17,,916,,,
,NECKLACE,SINGLE BUCKLE,8.23,,48,17,,916,Y,,
0922XW,NECKLACE,SINGLE BUCKLE,7.02,,52,21,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,6.58,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,6.53,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,6.52,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,7.33,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,7.31,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,7.29,,52,17,,916,,,
0224SLG,NECKLACE,SINGLE BUCKLE,8.63,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,8.55,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,8.57,,52,17,,916,,,
B0225SLG,NECKLACE,SINGLE BUCKLE,8.56,,52,17,,916,,,
0824SLG,NECKLACE,SINGLE BUCKLE,9.61,,52,17,,916,,,
0325XW,NECKLACE,SINGLE BUCKLE,10.97,,52,18.2,,916,,,
0125SLG,NECKLACE,SINGLE BUCKLE,13.01,,52,19,,916,,,
0125SLG,NECKLACE,SINGLE BUCKLE,13.03,,52,19,,916,,,
0225XW,NECKLACE,SINGLE BUCKLE,5.12,,60,21,,916,,,
1222XW,NECKLACE,SINGLE BUCKLE,6.76,,60,21,,916,,,
B0920SLG,NECKLACE,SINGLE BUCKLE,7.87,,60,21,,916,,,
0124YX,NECKLACE,SINGLE BUCKLE,7.27,,60,21,,916,,,
0124YX,NECKLACE,SINGLE BUCKLE,7.28,,60,21,,916,,,
0124YX,NECKLACE,SINGLE BUCKLE,7.31,,60,21,,916,,,
0922XW,NECKLACE,SINGLE BUCKLE,8.07,,60,21,,916,,,
0922XW,NECKLACE,SINGLE BUCKLE,8,,60,21,,916,,,
0922XW,NECKLACE,SINGLE BUCKLE,8,,60,21,,916,,,
125SLG,NECKLACE,SINGLE BUCKLE,12.12,,60,21,,916,,,
125SLG,NECKLACE,SINGLE BUCKLE,12.33,,60,21,,916,,,
1223SLG,NECKLACE,SINGLE BUCKLE,14.5,,60,22.4,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,14.3,,60,26,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,14.38,,60,26,,916,,,
,NECKLACE,SINGLE BUCKLE,17.77,,60,26,,916,Y,,
1024SLG,NECKLACE,SINGLE BUCKLE,16.61,,60,26,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,16.59,,60,26,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,18.12,,60,26,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,18.49,,60,26,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,20.6,,60,44,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,20.59,,60,44,,916,,,
0522SLG,NECKLACE,SINGLE BUCKLE,22.55,,60,63.5,,916,,,
0822SLG,NECKLACE,SINGLE BUCKLE,24.66,,60,64,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,18.64,,66,29,,916,,,
,NECKLACE,SINGLE BUCKLE,20.26,,66,,,916,Y,,
1024SLG,NECKLACE,SINGLE BUCKLE,20.43,,66,29,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,20.34,,66,29,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,23.04,,66,49,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,23.14,,66,49,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,26.45,,66,49,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,32.16,,66,49,,916,,,
1024SLG,NECKLACE,SINGLE BUCKLE,33.84,,66,49,,916,,,
0322SLG,NECKLACE,SINGLE BUCKLE,34.98,,66,81,,916,,,
0524JJT,NECKLACE,SINGLE BUCKLE,60.39,,66,72,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,2.57,,37,13,,916,,,
,NECKLACE,SINGLE BUCKLE,2.04,,41,,,916,Y,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.34,,41,14,,916,,,
1124XW,NECKLACE,SINGLE BUCKLE,6.07,,45,15,,916,,,
B0924SLG,NECKLACE,SINGLE BUCKLE,4.44,,45,15,,916,,,
0225SLG,NECKLACE,SINGLE BUCKLE,6.3,,45,15,,916,,,
0824SLG,NECKLACE,Pintar,2.36,,41,12.1,,916,,,
0824SLG,NECKLACE,Pintar,2.39,,41,12.1,,916,,,
0824SLG,NECKLACE,Pintar,2.4,,41,12.1,,916,,,
0824SLG,NECKLACE,Pintar,2.37,,41,12.1,,916,,,
0824SLG,NECKLACE,Pintar,3.06,,41,12.1,,916,,,
