stk_type,stk_weight,stk_size,stk_length,stk_width,stk_labor_cost,pur_code,stk_pattern,stk_gold_type,stk_returned,stk_remark,stk_tag
Charm,1.95,,,,23,1221XW,批花love,916,0,,镂空LOVE
Charm,0.63,,,,15,1121JJT,批花LOVE片,916,0,,
PENDANT,2.47,,,,35,0216GBT,鱼叼满,916,0,,立体鱼
Charm,1.56,,,,20,0316YF,Nemo鱼,916,0,,2C
Charm,1.29,,,,14,0822YX,电话 Hello Baby,916,0,,
Charm,1.33,,,,25,0723LUX,光面中空Love,916,0,,
Charm,0.74,,,,15,1121JJT,Love 牌Wife|Mom|Nurse,916,0,,
Charm,1.08,,,,26,1021YM,梅花 牌Wife|Mom|boss,916,0,,
Charm,0.96,,,,20,0521JJT,Love牌,916,0,,刻LOVE
Charm,1.36,,,,25,0921SLG,Gold Bar,916,0,,
Charm,1.82,,,,20,1214MGI,bear,916,0,,2C
Charm,2.81,,,,35,1121LUX,吊串I love YOU,916,0,,
Charm,2.35,,,,25,0723LUX,光面中空Love,916,0,,
Charm,1.35,,,,22,1021TC,礼物盒牌,916,0,,
